fullname,full_address,gpt-response
"Key Laboratory of Pesticide and Chemical Biology, Ministry of Education, College of Chemistry","Wuhan, 430079, China",Wuhan University
"State Key Laboratory Breeding Base of Basic Science of Stomatology (Hubei-MOST), School and Hospital of Stomatology, Ministry of Education","Wuhan, China",Wuhan University
"Key Laboratory for Green Chemical Process of Ministry of Education, School of Chemical Engineering and Pharmacy, Wuhan Institute of Technology","Wuhan, 430205, China",Wuhan Institute of Technology
"Engineering Research Center of Natural Anticancer Drugs, Ministry of Education","Harbin, China",Harbin Institute of Technology
"Key Laboratory of Instrumentation Science and Dynamic Measurement, Ministry of Education","Taiyuan 030051, China",Taiyuan University of Technology
"Key Lab. of the Coastal and Wetland Ecosystems, Ministry of Education, College of the Environment and Ecology, Xiamen Univ","Xiamen, 361005, China",Xiamen University
"Engineering Research Center of Intelligent Service Technology for Digital Publishing, Ministry of Education","Wuhan, 430070, China",Wuhan University
"Key Laboratory of Advanced Civil Engineering Materials, Ministry of Education","Shanghai, 200092, China",Tongji University
"Ministry of Education, School of Materials Science and Engineering","Beijing 100191, Beihang University, China",Beihang University
"Key Laboratory of Agricultural Animal Genetics, Breeding and Reproduction of the Ministry of Education","Wuhan, 430070, China",Huazhong Agricultural University
"Key Laboratory of System Control and Information Processing, Ministry of Education of China","Shanghai, China",Shanghai Jiao Tong University
"Key Lab. Sci. Technol. C., Education Ministry, Beijing Univ. of Chemical Technology","Beijing 100029, China",Beijing University of Chemical Technology
"Key Laboratory of Agricultural Soil and Water Engineering in Arid and Semiarid Areas, Ministry of Education, Northwest Agriculture and Forestry Univ.","Yangling, Shaanxi, 712100, China",Northwest Agriculture and Forestry University
"United Research Center for Urban Environment and Sustainable Development, Ministry of Education","Shanghai 200092, China",Tongji University
"Key Laboratory of Textile Science and Technology, Ministry of Education, College of Textiles","Shanghai 201620, China",Donghua University
"Key Laboratory of Micro-Systems and Micro-Structure Manufacturing, Ministry of Education","Beijing, 100001, China",Unknown
"Key Laboratory of Geotechnical and Underground Engineering, Ministry of Education",China,Tongji University
"Key Ecosystem Laboratory of the Ministry of Education, Pratacultural Engineering Laboratory of Gansu Province;, Sino-US Center for Grazingl and Ecosystem Sustainability","Lanzhou, 730070, China",Lanzhou University
Key Laboratory of Process Optimization and Intelligent Decision-making of Ministry of Education,"Hefei, 230009, China",Hefei University of Technology
"Hubei Collaborative Innovation Center for Grain Industry, Engineering Research Center of Ecology and Agricultural Use of Wetland, Ministry of Education","Jingzhou, 434025, China",Yangtze University
"Key Laboratory of Civil Engineering Safety and Durability of China, Education Ministry, Dept. of Civil Engineering, Tsinghua Univ.","Beijing, 100084, China",Tsinghua University
"Key Laboratory of Bio-Pesticide Innovation and Application, Guangdong Province, Engineering Technology Research Center of Agricultural Pest Biocontrol, Guangdong Province, Engineering Research Center of Bio-logical Control, Ministry of Education","Guangzhou, China",South China Agricultural University
"Key Laboratory of Modern Preparation of TCM, Ministry of Education","Nanchang 330004, China",Unknown
"Key Lab. of Agricultural Soil and Water Engineering in Arid and Semiarid Areas, Ministry of Education, Northwest A & F Univ","Yangling, 712100, China",Northwest A & F University
"Chongqing Key Laboratory of Pediatrics, Ministry of Education Key Laboratory of Child Development and Disorders","Chongqing, China",Chongqing Medical University
"Key Laboratory of Optoelectronic Information Science and Technology, Ministry of Education","Tianjin, 300072, China",Tianjin University
"Key Lab. of Meteorological Disaster, Ministry of Education (KLME), ILCEC, CIC-FEMD, Jiangsu Key Lab. of Agri. Meteorology, College of Applied Meteorology, Nanjing Univ. of Information Science, Tech","Nanjing, 210044, China",Nanjing University of Information Science and Technology
"Ministry of Education-Microsoft Key Laboratory of Speech Language, Harbin Institute of Technology","Harbin 150001, China",Harbin Institute of Technology
"The Key Laboratory of Functional Molecular Solids, Ministry of Education",China,Unknown
"Key Laboratory of Photoelectronic Imaging Technology and System of Ministry of Education of China, School of Optics and Photonics, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
Key Lab of Earth Exploration and - Information Techniques of Ministry of Education,"Chengdu, 610059, China",Chengdu University of Technology
"Engineering Research Center for Domain-Specific Operating Systems, Ministry of Education",China,Unknown
"Key Lab. of Bio-based Material Sci. and Technology (Northeast Forestry Univ.), Ministry of Education","Harbin, China",Northeast Forestry University
"Key Laboratory of Auxiliary Chemistry and Technology for Chemical Industry, Ministry of Education","Xi'an 710021, China",Shaanxi University of Science and Technology
"Key Lab of Safety Science of Pressurized System, Ministry of Education, School of Mechanical and Power Engineering","Shanghai, 200237, 130 Meilong Road, China",Shanghai Jiao Tong University
"Center of Functional Nanomaterials and Devices, Engineering Research Center for Anophotonics, Advanced Instrument Ministry of Education","Shanghai, 200062, 3663 North Zhongshan Road, China",East China Normal University
"Key Laboratory for Green Chemical Process, Ministry of Education, Wuhan Institute of Technology","Wuhan 430073, China",Wuhan Institute of Technology
"Engineering Research Center of Rock-Soil Drilling & Excavation and Protection, Ministry of Education","Wuhan, 430074, China","China University of Geosciences, Wuhan"
"Cancer Institute, Key Laboratory of Cancer Prevention and Intervention, China National Ministry of Education","Hangzhou, Zhejiang Province, 310009, China",Zhejiang University
"Key Laboratory of Biomimetic Robots and Systems, Ministry of Education",China,Beijing Institute of Technology
"Key Laboratory of System Bioengineering, Ministry of Education","Tianjin, 300350, China",Tianjin University
"Key Laboratory of Photoelectronic Imaging Technology and System, Ministry of Education of China, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Lab of Structure Dynamic Behavior and Control of China Ministry of Education, Harbin Institute of Technology","Harbin, 150090, China",Harbin Institute of Technology
"Key Laboratory of Carcinogenesis, Cancer Invasion of Ministry of Education","Shanghai, China",Shanghai Medical College of Fudan University
"Key Laboratory of Molecular Medicine, Ministry of Education, Department of Systems Biology for Medicine","Shanghai, 200032, China",Fudan University
"Key Laboratory for Green Chemical Process of Ministry of Education, Engineering Research Center of Phosphorus Resources Development and Utilization of Ministry of Education, Hubei Key Laboratory of Plasma Chemistry and Advanced Materials, School of Materials Science and Engineering, Wuhan Institute of Technology","Wuhan, 430205, China",Wuhan Institute of Technology
"Key Laboratory of Micro-systemsand Micro-structures Manufacturing Ministry of Education, Harbin Institute of Technology","Harbin, 150001, China",Harbin Institute of Technology
"Key Laboratory of Universal Wireless Communications, Ministry of Education, Wireless Technology Innovation Institute","Beijing, 100876, China",Beijing University of Posts and Telecommunications
"School of Chemistry and Environmental Engineering, Key Laboratory of Green Chemical Process of Ministry of Education, Key Laboratory of Novel Reactor and Green Chemical Technology of Hubei Province, Wuhan Institute of Technology","Wuhan, China",Wuhan Institute of Technology
"Academy of Disaster Reduction and Emergency Management, Ministry of Civil Affairs and Ministry of Education","Beijing, 100875, China",Unknown
"The Engineering Research Center of Oceanic Sensing Technology and Equipment, Ministry of Education","Zhoushan, China",Zhejiang University
"Key Lab of Structures Dynamic Behavior and Control, The Ministry of Education, Harbin Institute of Technology","Harbin, 150090, China",Harbin Institute of Technology
"Engineering Research Center of Digital Forensics, Ministry of Education","No. 219 Ningliu Road, Nanjing, 210044, China",Nanjing University of Information Science and Technology
"Key Laboratory of Structural Engineering and Earthquake Resistance, Ministry of Education (XAUAT)","Xi’an, Shaanxi, China",Xi'an University of Architecture and Technology
"Key Lab. of Geotechnical and Underground Eng. of Ministry of Education, Tongji Univ.","Shanghai, 200092, China",Tongji University
"Key Laboratory of Western Mine Exploitation and Hazard Prevention, Ministry of Education","Shaanxi, Xi'an, 710054, China",Xi'an University of Science and Technology
"Key Lab. for the Exploitation of Southwestern Resources and the Environmental Disaster Control Eng., Ministry of Education","Chongqing 400044, China",Chongqing University
"Key Laboratory of Integrated Regulation and Resource Development on Shallow Lakes, Ministry of Education, College of Environmental Science and Engineering","Nanjing, 210098, China",Nanjing University
"Key Laboratory of Data Storage Systems, Ministry of Education of China","Wuhan, China",Unknown
"Engineering Research Center of Railway Environmental Vibration and Noise of Ministry of Education, East China Jiaotong Univ.","Nanchang, 330013, China",East China Jiaotong University
"Engineering Research Center of Biomass Materials, Ministry of Education","Mianyang , 621010, Sichuan, China",Southwest University of Science and Technology
